id,run_id,keyword_text,result_type,rank,title,url,domain,snippet,features_json
1,20260212_122854,Free counselling North Vancouver,organic,1,Counselling Support,https://www.familyservices.bc.ca/find-support/counselling-support/,www.familyservices.bc.ca,"Our highly-trained, experienced counsellors can work with you and your family to address a wide variety of issues. We also offer counselling on a sliding fee ...",{}
2,20260212_122854,Free counselling North Vancouver,organic,2,Free or Low-Cost Services in BC - HelpStartsHere,https://helpstartshere.gov.bc.ca/blog/free-or-low-cost-services-bc,helpstartshere.gov.bc.ca,"There are several ways to seek out free or low-cost services in BC. If you want to speak to a person, you can call 8-1-1 or 2-1-1 (or text 2-1-1) to ask what ...",{}
3,20260212_122854,Free counselling North Vancouver,organic,3,Counselling Services,https://northwestvancouver.cmha.bc.ca/programs-and-services/counselling/,northwestvancouver.cmha.bc.ca,Individual low-cost counselling with our team of registered clinical counsellors. Get support on your mental health journey.,{}
4,20260212_122854,Free counselling North Vancouver,organic,4,Youth Drop-In Mental Health Counselling at Foundry North ...,https://www.vch.ca/en/location-service/youth-drop-mental-health-counselling-foundry-north-shore,www.vch.ca,"Youth Drop-In Mental Health Counselling at Foundry North Shore · 211 West 1st Street North Vancouver, BC V7M 1C9 · foundrynorthshore@vch.ca · Phone: (604)984-5060.",{}
5,20260212_122854,Free counselling North Vancouver,organic,5,North Vancouver Counselling - Boomerang Centre,https://boomerangcc.ca/,boomerangcc.ca,"Low-cost counselling. $60/50 minute session. Immediate availability, in-person or online, evenings & weekends. Anxiety, ADHD, relationships, families, ...",{}
6,20260212_122854,Free counselling North Vancouver,organic,6,Reduced-Cost Counselling Options in Vancouver,https://sfss.ca/wp-content/uploads/2022/02/reduced-cost-counselling-january-2022-reduced-cost-counselling.pdf,sfss.ca,Counsellors rotate. Free. Text support also available by texting WELLNESS to 741741. Family Services of the North Shore - 604-988-5281.,{}
7,20260212_122854,Free counselling North Vancouver,organic,7,Living Systems Counselling: Affordable Counselling,https://livingsystems.ca/,livingsystems.ca,"Living Systems Counselling - Vancouver BC area. Affordable counselling services for individuals, couples, and families online and in person.",{}
8,20260212_122854,Free counselling North Vancouver,organic,8,Family Services of the North Shore: Home Page,https://www.familyservices.bc.ca/,www.familyservices.bc.ca,"We offer counselling, support, education, and volunteer engagement opportunities to help you reach your full potential throughout your life.",{}
9,20260212_122854,Marriage and family therapist Vancouver,organic,1,Vancouver Couple & Family Institute,https://vcfi.ca/,vcfi.ca,"We help individuals, couples, and families reach their personal goals and build strong bonds in their most important relationships.",{}
10,20260212_122854,Marriage and family therapist Vancouver,organic,2,"Marriage Counselling Therapists in Vancouver, BC",https://www.psychologytoday.com/ca/therapists/bc/vancouver?category=marriage-counselling,www.psychologytoday.com,"Find the Right Marriage Counselling Therapist in Vancouver, BC - Alexa Gelles, MA, RCC; Karolina Taracha, MA, MPCC; Alexia Dyer, MA; Ashley Will; ...",{}
11,20260212_122854,Marriage and family therapist Vancouver,organic,3,One Oak Counselling – Burnaby & Vancouver's Top Rated ...,https://burnabycounsellors.com/,burnabycounsellors.com,"One Oak Counselling provides individual, relationship, and family therapy using strength-based, CBT, and Narrative Therapy approaches.",{}
12,20260212_122854,Marriage and family therapist Vancouver,organic,4,Couples and Relationship Counselling Vancouver,https://www.blueskywellnessclinic.ca/marriage-and-relationship-issues/,www.blueskywellnessclinic.ca,Our counsellors at Blue Sky Wellness Clinic have extensive training in various modalities and real-world experience with multiple relationship types.,{}
13,20260212_122854,Marriage and family therapist Vancouver,organic,5,Marriage & Relationship Counselling,https://skylarkclinic.ca/our-services/marriage-counselling/,skylarkclinic.ca,"Marriage Therapy encompasses couples counselling, conflict resolution, communication strategy, romantic support, and sex therapy within a relationship.",{}
14,20260212_122854,Marriage and family therapist Vancouver,organic,6,Home | Dr. Stephen Madigan Couples Therapist ...,https://www.stephenmadigan.ca/,www.stephenmadigan.ca,"Stephen is an award winning couple therapist who holds an MSW and, MSc and PhD in Couple and Family Therapy.",{}
15,20260212_122854,Marriage and family therapist Vancouver,organic,7,ABOUT,https://susangamache.com/about/,susangamache.com,"Dr Susan Gamache is a Psychologist and MFT in private practice. She is a therapist, parent educator, mediator, trainer, author and media consultant. How ...",{}
16,20260212_122854,Marriage and family therapist Vancouver,organic,8,"Find Family Therapy Counselling Psychologists, Therapists ...",https://counsellingbc.com/counsellors/vancouver?category=332&approach=family%20therapy,counsellingbc.com,"Discover the top counsellors in Vancouver. Explore our directory for expert Family Therapy counselling, psychological services, art therapy, ...",{}
17,20260212_125237,Free counselling North Vancouver,organic,1,Counselling Support,https://www.familyservices.bc.ca/find-support/counselling-support/,www.familyservices.bc.ca,"Our highly-trained, experienced counsellors can work with you and your family to address a wide variety of issues. We also offer counselling on a sliding fee ...",{}
18,20260212_125237,Free counselling North Vancouver,organic,2,Free or Low-Cost Services in BC - HelpStartsHere,https://helpstartshere.gov.bc.ca/blog/free-or-low-cost-services-bc,helpstartshere.gov.bc.ca,"There are several ways to seek out free or low-cost services in BC. If you want to speak to a person, you can call 8-1-1 or 2-1-1 (or text 2-1-1) to ask what ...",{}
19,20260212_125237,Free counselling North Vancouver,organic,3,Counselling Services,https://northwestvancouver.cmha.bc.ca/programs-and-services/counselling/,northwestvancouver.cmha.bc.ca,Individual low-cost counselling with our team of registered clinical counsellors. Get support on your mental health journey.,{}
20,20260212_125237,Free counselling North Vancouver,organic,4,Youth Drop-In Mental Health Counselling at Foundry North ...,https://www.vch.ca/en/location-service/youth-drop-mental-health-counselling-foundry-north-shore,www.vch.ca,"Youth Drop-In Mental Health Counselling at Foundry North Shore · 211 West 1st Street North Vancouver, BC V7M 1C9 · foundrynorthshore@vch.ca · Phone: (604)984-5060.",{}
21,20260212_125237,Free counselling North Vancouver,organic,5,North Vancouver Counselling - Boomerang Centre,https://boomerangcc.ca/,boomerangcc.ca,"Low-cost counselling. $60/50 minute session. Immediate availability, in-person or online, evenings & weekends. Anxiety, ADHD, relationships, families, ...",{}
22,20260212_125237,Free counselling North Vancouver,organic,6,Reduced-Cost Counselling Options in Vancouver,https://sfss.ca/wp-content/uploads/2022/02/reduced-cost-counselling-january-2022-reduced-cost-counselling.pdf,sfss.ca,Counsellors rotate. Free. Text support also available by texting WELLNESS to 741741. Family Services of the North Shore - 604-988-5281.,{}
23,20260212_125237,Free counselling North Vancouver,organic,7,Reduced-Cost Counselling Options in Vancouver January ...,https://willowtreecounselling.ca/wp-content/uploads/resources/reduced-cost-counselling.pdf,willowtreecounselling.ca,"604-662-3240 ○ parkinson.bc.ca/resources-services/counselling. Free, short-term professional counselling and psychotherapy for individuals across BC with.",{}
24,20260212_125237,Free counselling North Vancouver,organic,8,Counselling Support - North Vancouver - Pathways,https://vancouver.pathwaysbc.ca/programs/2733,vancouver.pathwaysbc.ca,"Some programs are available at no cost, while others have a sliding fee scale (from $30 to $125 per session). The Intake Counsellor will help to determine ...",{}
25,20260212_125237,Marriage and family therapist Vancouver,organic,1,Vancouver Couple & Family Institute,https://vcfi.ca/,vcfi.ca,"We help individuals, couples, and families reach their personal goals and build strong bonds in their most important relationships.",{}
26,20260212_125237,Marriage and family therapist Vancouver,organic,2,"Marriage Counselling Therapists in Vancouver, BC",https://www.psychologytoday.com/ca/therapists/bc/vancouver?category=marriage-counselling,www.psychologytoday.com,"Find the Right Marriage Counselling Therapist in Vancouver, BC - Alexa Gelles, MA, RCC; Karolina Taracha, MA, MPCC; Alexia Dyer, MA; Ashley Will; ...",{}
27,20260212_125237,Marriage and family therapist Vancouver,organic,3,One Oak Counselling – Burnaby & Vancouver's Top Rated ...,https://burnabycounsellors.com/,burnabycounsellors.com,"One Oak Counselling provides individual, relationship, and family therapy using strength-based, CBT, and Narrative Therapy approaches.",{}
28,20260212_125237,Marriage and family therapist Vancouver,organic,4,Couples and Relationship Counselling Vancouver,https://www.blueskywellnessclinic.ca/marriage-and-relationship-issues/,www.blueskywellnessclinic.ca,Our counsellors at Blue Sky Wellness Clinic have extensive training in various modalities and real-world experience with multiple relationship types.,{}
29,20260212_125237,Marriage and family therapist Vancouver,organic,5,Marriage & Relationship Counselling,https://skylarkclinic.ca/our-services/marriage-counselling/,skylarkclinic.ca,"Marriage Therapy encompasses couples counselling, conflict resolution, communication strategy, romantic support, and sex therapy within a relationship.",{}
30,20260212_125237,Marriage and family therapist Vancouver,organic,6,Home | Dr. Stephen Madigan Couples Therapist ...,https://www.stephenmadigan.ca/,www.stephenmadigan.ca,"Stephen is an award winning couple therapist who holds an MSW and, MSc and PhD in Couple and Family Therapy.",{}
31,20260212_125237,Marriage and family therapist Vancouver,organic,7,ABOUT,https://susangamache.com/about/,susangamache.com,"Dr Susan Gamache is a Psychologist and MFT in private practice. She is a therapist, parent educator, mediator, trainer, author and media consultant. How ...",{}
32,20260212_125237,Marriage and family therapist Vancouver,organic,8,"Find Family Therapy Counselling Psychologists, Therapists ...",https://counsellingbc.com/counsellors/vancouver?category=332&approach=family%20therapy,counsellingbc.com,"Discover the top counsellors in Vancouver. Explore our directory for expert Family Therapy counselling, psychological services, art therapy, ...",{}
